name,country_code,regulatory_status,withdrawal_effective_at,grace_period_until,status_note,source_url,source_snapshot_at,source_grace_text,source_permit_type
"Készítmény neve var maxhideFiltersIndex1ed73b218b3c41c68c8d0866b4ede9fd= maxhideFiltersIndex1ed73b218b3c41c68c8d0866b4ede9fd+1; if(showExpansion) { //Added for row expansion colHeaders1ed73b218b3c41c68c8d0866b4ede9fd.push(""Készítmény neve"") }",HU,unknown,,,"Nébih visszavont/lejárt lista; engedély típusa: Engedély típusa var maxhideFiltersIndex1ed73b218b3c41c68c8d0866b4ede9fd= maxhideFiltersIndex1ed73b218b3c41c68c8d0866b4ede9fd+1; if(showExpansion) { //Added for row expansion colHeaders1ed73b218b3c41c68c8d0866b4ede9fd.push(""Engedély típusa"") }; engedély érvényessége: Engedély érvényessége var maxhideFiltersIndex1ed73b218b3c41c68c8d0866b4ede9fd= maxhideFiltersIndex1ed73b218b3c41c68c8d0866b4ede9fd+1; if(showExpansion) { //Added for row expansion colHeaders1ed73b218b3c41c68c8d0866b4ede9fd.push(""Engedély érvényessége"") }; kereskedelmi türelmi idő: Türelmi idő lejárata (nagy- és kiskereskedői értékesítés) var maxhideFiltersIndex1ed73b218b3c41c68c8d0866b4ede9fd= maxhideFiltersIndex1ed73b218b3c41c68c8d0866b4ede9fd+1; if(showExpansion) { //Added for row expansion colHeaders1ed73b218b3c41c68c8d0866b4ede9fd.push(""Türelmi idő lejárata (nagy- és kiskereskedői értékesítés)"") }; felhasználási türelmi idő: Türelmi idő lejárata (felhasználás) var maxhideFiltersIndex1ed73b218b3c41c68c8d0866b4ede9fd= maxhideFiltersIndex1ed73b218b3c41c68c8d0866b4ede9fd+1; if(showExpansion) { //Added for row expansion colHeaders1ed73b218b3c41c68c8d0866b4ede9fd.push(""Türelmi idő lejárata (felhasználás) "") }",https://portal.nebih.gov.hu/visszavont-es-lejart-ervenyessegu-novenyvedo-szerek,2026-08-25T08:58:00.868360+00:00,"Türelmi idő lejárata (felhasználás) var maxhideFiltersIndex1ed73b218b3c41c68c8d0866b4ede9fd= maxhideFiltersIndex1ed73b218b3c41c68c8d0866b4ede9fd+1; if(showExpansion) { //Added for row expansion colHeaders1ed73b218b3c41c68c8d0866b4ede9fd.push(""Türelmi idő lejárata (felhasználás) "") }","Engedély típusa var maxhideFiltersIndex1ed73b218b3c41c68c8d0866b4ede9fd= maxhideFiltersIndex1ed73b218b3c41c68c8d0866b4ede9fd+1; if(showExpansion) { //Added for row expansion colHeaders1ed73b218b3c41c68c8d0866b4ede9fd.push(""Engedély típusa"") }"
Axoris műtrágya rovarölő szerrel,HU,unknown,2017-01-31,,Nébih visszavont/lejárt lista; engedély típusa: alapengedély; engedély érvényessége: 2017. január 31.; kereskedelmi türelmi idő: 2017. július 31.; felhasználási türelmi idő: eltarthatósági idő végéig,https://portal.nebih.gov.hu/visszavont-es-lejart-ervenyessegu-novenyvedo-szerek,2026-08-25T08:58:00.868395+00:00,eltarthatósági idő végéig,alapengedély
Axoris rovarölő permet dísznövényekhez,HU,unknown,2017-01-31,,Nébih visszavont/lejárt lista; engedély típusa: alapengedély; engedély érvényessége: 2017. január 31.; kereskedelmi türelmi idő: 2017. július 31.; felhasználási türelmi idő: eltarthatósági idő végéig,https://portal.nebih.gov.hu/visszavont-es-lejart-ervenyessegu-novenyvedo-szerek,2026-08-25T08:58:00.868414+00:00,eltarthatósági idő végéig,alapengedély
Axoris rovarölő permet és öntözőszer,HU,unknown,2017-01-31,,Nébih visszavont/lejárt lista; engedély típusa: alapengedély; engedély érvényessége: 2017. január 31.; kereskedelmi türelmi idő: 2017. július 31.; felhasználási türelmi idő: eltarthatósági idő végéig,https://portal.nebih.gov.hu/visszavont-es-lejart-ervenyessegu-novenyvedo-szerek,2026-08-25T08:58:00.868430+00:00,eltarthatósági idő végéig,alapengedély
Axoris táprúd + rovarölő szer,HU,unknown,2017-01-31,,Nébih visszavont/lejárt lista; engedély típusa: alapengedély; engedély érvényessége: 2017. január 31.; kereskedelmi türelmi idő: 2017. július 31.; felhasználási türelmi idő: eltarthatósági idő végéig,https://portal.nebih.gov.hu/visszavont-es-lejart-ervenyessegu-novenyvedo-szerek,2026-08-25T08:58:00.868444+00:00,eltarthatósági idő végéig,alapengedély
Bio-Film,HU,unknown,2017-01-31,,Nébih visszavont/lejárt lista; engedély típusa: alapengedély; engedély érvényessége: 2017. január 31.; kereskedelmi türelmi idő: 2018. április 30.; felhasználási türelmi idő: eltarthatósági idő végéig,https://portal.nebih.gov.hu/visszavont-es-lejart-ervenyessegu-novenyvedo-szerek,2026-08-25T08:58:00.868458+00:00,eltarthatósági idő végéig,alapengedély
Match 050 EC,HU,not_applicable,2017-02-03,,Nébih visszavont/lejárt lista; engedély típusa: alapengedély; engedély érvényessége: 2017. február 3.; kereskedelmi türelmi idő: nincs (a szer piaci forgalomba nem került); felhasználási türelmi idő: nincs (a szer piaci forgalomba nem került),https://portal.nebih.gov.hu/visszavont-es-lejart-ervenyessegu-novenyvedo-szerek,2026-08-25T08:58:00.868473+00:00,nincs (a szer piaci forgalomba nem került),alapengedély
Cythrin Garden,HU,unknown,2017-02-28,,Nébih visszavont/lejárt lista; engedély típusa: alapengedély; engedély érvényessége: 2017. február 28.; kereskedelmi türelmi idő: 2017. augusztus 28.; felhasználási türelmi idő: eltarthatósági idő végéig,https://portal.nebih.gov.hu/visszavont-es-lejart-ervenyessegu-novenyvedo-szerek,2026-08-25T08:58:00.868486+00:00,eltarthatósági idő végéig,alapengedély
Carakol,HU,unknown,2017-05-31,,Nébih visszavont/lejárt lista; engedély típusa: alapengedély; engedély érvényessége: 2017. május 31.; kereskedelmi türelmi idő: 2017. november 30.; felhasználási türelmi idő: eltarthatósági idő végéig,https://portal.nebih.gov.hu/visszavont-es-lejart-ervenyessegu-novenyvedo-szerek,2026-08-25T08:58:00.868503+00:00,eltarthatósági idő végéig,alapengedély
Huszár OD,HU,unknown,2017-06-01,,Nébih visszavont/lejárt lista; engedély típusa: alapengedély; engedély érvényessége: 2017. június 1.; kereskedelmi türelmi idő: 2017. december 31.; felhasználási türelmi idő: eltarthatósági idő végéig,https://portal.nebih.gov.hu/visszavont-es-lejart-ervenyessegu-novenyvedo-szerek,2026-08-25T08:58:00.868518+00:00,eltarthatósági idő végéig,alapengedély
Afalon Dispersion,HU,not_applicable,2017-06-03,2018-06-03,Nébih visszavont/lejárt lista; engedély típusa: alapengedély; engedély érvényessége: 2017. június 3.; kereskedelmi türelmi idő: 2017. december 3.; felhasználási türelmi idő: 2018. június 3.,https://portal.nebih.gov.hu/visszavont-es-lejart-ervenyessegu-novenyvedo-szerek,2026-08-25T08:58:00.868533+00:00,2018. június 3.,alapengedély
