;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Z7 - Zoznam prípravkov;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;1 Názov prípravku;2 Chemická látka;3 âíslo autorizácie;4 DrÏiteº;4b DrÏiteº názov;5 Formulácia;6 Funkcia prípravku;;7 Dátum ukonãenia platnosti autorizácie;8 Typ pouÏívateºa;9a Paraleln˘ obchod;9b Paraleln˘ obchod;10 Identická autorizácia;11 Typ prípravku;12 Referenãn˘ prípravok;13 Dátum ukonãenia predaja;14 Dátum ukonãenia spotreby;15 Stav rozhodnutia;16 SIGNAL;17 GHS;18 EUH;19 H;20 P;21 PHO;22 SP;23 V;24 Vc;25 Vo;26 Vt;27 Z
;DESIGNER;Kopolymér karboxylovaného styrén butadiénu / styrene butadiene copolymer, carboxylated (255.000 g/l);13-20-1382;AAT;AGRO ALIANCE s.r.o. ;EW;INE;;31.01.2023;Profi;N;N;N;Adjuvant;;31.07.2023;31.07.2024;autorizovany;;;;;;;;;;;;
;GONDOR;Lecithin (495.000 g/l);13-20-1376;AAT;AGRO ALIANCE s.r.o. ;EC;INE;;05.12.2022;Profi;N;N;N;Adjuvant;;05.06.2023;05.06.2024;autorizovany;;;;;;;;;;;;
;ALIMO;Plant oils/ Rape seed oil (80.000 %);12-20-1281;AAT;AGRO ALIANCE s.r.o. ;EC;INE;;12.09.2021;Profi;N;N;N;Pomocny;;12.03.2022;12.03.2023;autorizovany;;;;;;;;;;;;
;TRAVIN;Clopyralid (0.800 g/kg),Fluroxypyr (0.670 g/kg);16-11-1822;ACS;AGRO CS Slovakia, a.s.;GR;H;;30.04.2022;Profi;N;N;N;Pripravok;;30.10.2022;30.10.2023;autorizovany;Pozor;Bez GHS;EUH401;H - bez oznaãenia;P280,P391,P501;;SP 1,SPe 1,SPe 3;V3;Vã3;Vo3;Vt5;Z4
;TRAVIN;Clopyralid (0.800 g/kg),Fluroxypyr (0.670 g/kg);16-MB-1823;ACS;AGRO CS Slovakia, a.s.;GR;H;;30.04.2022;Neprofi;N;N;N;Pripravok;;30.10.2022;30.10.2023;autorizovany;NepoÏaduje sa;Bez GHS;EUH401;;P102,P280,P391,P501;;SP 1,SPe 1,SPe 3;V3;Vã3;Vo3;Vt5;Z4
;ROCK EFFECT;olej z Pongamia pinnata (868.500 g/l);16-20-1792;ACS;AGRO CS Slovakia, a.s.;EC;INE;;17.05.2026;Profi, Neprofi;N;N;N;Pomocny;;17.11.2026;17.11.2027;autorizovany;;;EUH401;;P102,P264,P270,P280,P302+P352,P332+P313;;SP 1;V - bez oznaãenia;Vã3;Vo2;Vt5;Z4
;BYLINKOVA ZMES NA RASTLINY;zmes klinãekov a ‰korice (100.000 %);19-00494-PM;ACS;AGRO CS Slovakia, a.s.;XX;INE;;17.04.2029;Neprofi;N;N;N;Pomocny;;17.10.2029;17.10.2030;autorizovany;NepoÏaduje sa;Bez GHS;EUH401;H - bez oznaãenia;P - Bez oznaãenia;;SP 1;0;0;0;0;0
;HERBISULAM;2,4-D (300.000 g/l),Florasulam (6.300 g/l);19-00620-PO;ADA;Adama Agriculture Slovensko spol. s.r.o.;SE;H;;31.12.2021;Profi;A;A;N;Pripravok;;30.06.2022;30.06.2023;autorizovany;Pozor;GHS07,GHS09;EUH401;H317,H410;P273,P280,P302+P352,P391,P501;;SP 1,SPe 3;V3;Vã3;Vo3;Vt5;Z4
;GOLTIX TITAN;Metamitron (525.000 g/l),Quinmerac (40.000 g/l);19-00585-AU;ADA;Adama Agriculture Slovensko spol. s.r.o.;SC;H;;31.08.2023;Profi;N;N;N;Pripravok;;29.02.2024;28.02.2025;autorizovany;Pozor;GHS09;EUH208,EUH401;H411;P273,P280,P391,P501;PHO4;SP 1,SPe 1,SPe 3;V3;Vã3;Vo2;Vt5;Z4
;BANJO;Fluazinam (500.000 g/l);19-00633-AU;ADA;Adama Agriculture Slovensko spol. s.r.o.;SC;F;;28.02.2022;Profi;N;N;N;Pripravok;;28.08.2022;28.08.2023;autorizovany;Pozor;GHS08,GHS09;EUH208,EUH401;H361d,H410;P201,P202,P273,P280,P308+P313,P391,P405,P501;-;SP 1,SPe 3,SPe 4;V3;Vã3;Vo1;Vt5;Z4
;REGULUS;Ethephon (480.000 g/l);20-00841-AU;ADA;Adama Agriculture Slovensko spol. s.r.o.;SL;MO;;31.07.2022;Profi;N;N;N;Pripravok;;31.01.2022;31.01.2023;autorizovany;Nebezpeãenstvo;GHS05,GHS07;EUH071,EUH401;H315,H318;P102,P103,P260,P264,P270,P280,P303+P361+P353,P304+P340,P305+P351+P338,P310,P312,P332+P313,P363,P391,P404,P501;-;SP 1;V3;Vã3;Vo3;Vt5;Z4
